ID,Kind,Title,Title Ol Chiki,Ol Chiki,Subtitle,Category,Published,Premium,Order,Tags,Updated At
lesson_numbers_0_9,lesson,Numbers 0-9,᱐-᱙ ᱮᱞᱠᱷᱟ,,,cat_numbers_1778594019015,true,false,0,,2026-06-05T05:42:15.615+00:00
lesson_alphabet_0,lesson,Basics of Ol Chiki,ᱚᱞ ᱪᱤᱠᱤ ᱢᱩᱞ,,,cat_alphabets_1778594017948,true,false,0,,2026-05-28T10:35:44.310+00:00
lesson_alphabet_1,lesson,Vowels I,ᱨᱟᱦᱟ ᱟᱲᱟᱝ I,,,cat_alphabets_1778594017948,true,false,0,,2026-05-25T10:17:08.140+00:00
lesson_alphabet_2,lesson,Consonants I,ᱠᱮᱪᱮᱫ ᱟᱲᱟᱝ I,,,cat_alphabets_1778594017948,true,false,0,,2026-05-25T10:17:08.758+00:00
lesson_alphabet_3,lesson,Consonants II,ᱠᱮᱪᱮᱫ ᱟᱲᱟᱝ II,,,cat_alphabets_1778594017948,true,false,0,,2026-05-25T10:17:09.269+00:00
lesson_alphabet_4,lesson,Vowels II,ᱨᱟᱦᱟ ᱟᱲᱟᱝ II,,,cat_alphabets_1778594017948,true,false,0,,2026-05-25T10:17:09.834+00:00
lesson_numbers_10_20,lesson,Numbers 10-20,᱑᱐-᱒᱐ ᱮᱞᱠᱷᱟ,,,cat_numbers_1778594019015,true,false,0,,2026-06-05T05:36:17.721+00:00
lesson_sentences_basics,lesson,Basic Sentences,ᱢᱩᱞ ᱣᱟᱠᱭ,,,cat_sentences_1778594024495,true,false,0,,2026-06-05T10:02:06.071+00:00
lesson_sentences_daily,lesson,Daily Sentences,ᱫᱤᱱᱟᱹᱢ ᱣᱟᱠᱭ,,,cat_sentences_1778594024495,true,false,0,,2026-05-25T05:34:35.959+00:00
lesson_greet_0,lesson,Basic Greetings,ᱡᱚᱦᱟᱨ,,,cat_phrases_1778594027629,true,false,0,,2026-06-05T05:56:05.169+00:00
lesson_greet_1,lesson,Meeting People,ᱦᱚᱲ ᱥᱟᱶᱛᱟ ᱧᱟᱯᱟᱢ,,,cat_phrases_1778594027629,true,false,0,,2026-06-02T09:32:54.447+00:00
lesson_greet_2,lesson,Polite Phrases,ᱢᱟᱹᱱ ᱟᱹᱲᱟᱹ,,,cat_phrases_1778594027629,true,false,0,,2026-06-02T09:32:54.969+00:00
lesson_greet_3,lesson,Farewells,ᱵᱤᱫᱟᱹᱭ ᱠᱟᱛᱷᱟ,,,cat_phrases_1778594027629,true,false,0,,2026-06-02T09:32:55.509+00:00
lesson_vocab_basics,lesson,Greetings & Basics,ᱡᱚᱦᱟᱨ ᱟᱨ ᱢᱩᱞ ᱨᱚᱲ,,,cat_vocab_1778594020532,true,false,0,,2026-06-05T10:01:51.372+00:00
lesson_vocab_family,lesson,Family & Relationships,ᱯᱟᱨᱤᱣᱟᱨ ᱟᱨ ᱥᱟᱹᱜᱟᱹᱭ,,,cat_vocab_1778594020532,true,false,0,,2026-06-05T10:01:52.422+00:00
lesson_vocab_daily,lesson,Daily Use Words,ᱫᱤᱱᱟᱹᱢ ᱵᱮᱵᱷᱟᱨ ᱨᱚᱲ,,,cat_vocab_1778594020532,true,false,0,,2026-06-05T10:01:53.488+00:00
lesson_vocab_colors,lesson,Colors,ᱨᱚᱝ,,,cat_vocab_1778594020532,true,false,0,,2026-06-05T10:01:54.547+00:00
lesson_vocab_nature,lesson,Animals & Nature,ᱡᱟᱱᱣᱟᱨ ᱟᱨ ᱠᱩᱫᱽᱨᱟᱹᱛ,,,cat_vocab_1778594020532,true,false,0,,2026-06-05T10:01:55.613+00:00
lesson_vocab_time,lesson,"Months, Days & Seasons",ᱪᱟᱸᱫᱚ ᱟᱨ ᱨᱤᱛᱩ,,,cat_vocab_1778594020532,true,false,0,,2026-06-05T10:01:56.663+00:00
lesson_vocab_trending,lesson,Trending & Popular Words,ᱦᱟᱹᱞᱤ ᱨᱮᱭᱟᱜ ᱨᱚᱲ,,,cat_vocab_1778594020532,true,false,0,,2026-06-05T10:01:57.792+00:00
lesson_vocab_idioms_beginner,lesson,Simple Idioms & Daily Life,ᱢᱩᱞ ᱵᱮᱱᱛᱟ ᱠᱟᱛᱷᱟ,,,cat_vocab_1778594020532,true,false,0,,2026-06-05T10:01:58.770+00:00
lesson_vocab_idioms_intermediate,lesson,Folk Proverbs & Expressions,ᱠᱩᱫᱩᱢ ᱟᱨ ᱥᱟᱹᱜᱟᱹᱭ,,,cat_vocab_1778594020532,true,false,0,,2026-06-05T10:01:59.760+00:00
lesson_vocab_idioms_advanced,lesson,Deep Wisdom & Philosophy,ᱜᱟᱹᱦᱤᱨ ᱵᱮᱱᱛᱟ ᱠᱟᱛᱷᱟ,,,cat_vocab_1778594020532,true,false,0,,2026-06-05T10:02:00.834+00:00
lesson_vocab_conversational_1,lesson,Modern Conversational Idioms,ᱦᱟᱹᱞᱤ ᱨᱚᱲ ᱵᱮᱱᱛᱟ ᱠᱟᱛᱷᱟ,,,cat_vocab_1778594020532,true,false,0,,2026-06-05T10:02:01.862+00:00
lesson_vocab_conversational_2,lesson,Casual Idioms & Social Slang,ᱫᱤᱱᱟᱹᱢ ᱵᱮᱵᱷᱟᱨ ᱵᱮᱱᱛᱟ,,,cat_vocab_1778594020532,true,false,0,,2026-06-05T10:02:02.927+00:00
lesson_vocab_folk_1,lesson,Folk Proverbs & Tribal Wisdom I,ᱠᱩᱫᱩᱢ ᱟᱨ ᱟᱹᱛᱩ ᱦᱚᱨ ᱜᱮᱭᱟᱱ ᱢᱟᱹᱦᱤᱛ,,,cat_vocab_1778594020532,true,false,0,,2026-06-05T10:02:04.003+00:00
lesson_vocab_folk_2,lesson,Folk Proverbs & Tribal Wisdom II,ᱫᱤᱥᱚᱢ ᱦᱟᱲᱟᱢ ᱵᱮᱱᱛᱟ ᱠᱟᱛᱷᱟ,,,cat_vocab_1778594020532,true,false,0,,2026-06-05T09:25:07.995+00:00
lesson_sentences_conversations,lesson,Daily Conversations,ᱫᱤᱱᱟᱹᱢ ᱜᱟᱞᱢᱟᱨᱟᱣ,,,cat_sentences_1778594024495,true,false,0,,2026-06-05T10:02:07.124+00:00
lesson_sentences_polite,lesson,Greetings & Politeness,ᱡᱚᱦᱟᱨ ᱟᱨ ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ,,,cat_sentences_1778594024495,true,false,0,,2026-06-05T10:02:08.184+00:00
lesson_sentences_time_weather,lesson,Time & Weather,ᱚᱠᱛᱚ ᱟᱨ ᱦᱚᱭ ᱦᱤᱥᱤᱫ,,,cat_sentences_1778594024495,true,false,0,,2026-06-05T10:02:09.232+00:00
lesson_sentences_complex_beginner,lesson,Simple Dialogues & Routines,ᱢᱩᱞ ᱜᱟᱞᱢᱟᱨᱟᱣ,,,cat_sentences_1778594024495,true,false,0,,2026-06-05T10:02:10.312+00:00
lesson_sentences_complex_advanced,lesson,Traditional Wisdom & Ecology,ᱜᱟᱹᱦᱤᱨ ᱥᱟᱱᱛᱟᱲᱤ ᱣᱟᱠᱭ,,,cat_sentences_1778594024495,true,false,0,,2026-06-05T10:02:12.360+00:00
lesson_sentences_conversational_1,lesson,Modern Conversational Exchanges I,ᱦᱟᱹᱞᱤ ᱨᱚᱲ ᱣᱟᱠᱭ ᱢᱩᱦᱤᱛ ᱑,,,cat_sentences_1778594024495,true,false,0,,2026-06-05T10:02:13.446+00:00
lesson_sentences_conversational_2,lesson,Modern Conversational Exchanges II,ᱦᱟᱹᱞᱤ ᱨᱚᱲ ᱣᱟᱠᱭ ᱢᱩᱦᱤᱛ ᱒,,,cat_sentences_1778594024495,true,false,0,,2026-06-05T10:02:14.457+00:00
